,locality,lithology,f,f_min,f_max,ref,mineralogy,method,n
Zhang2018_2,Ranmugou,red beds,0.55,0.47,0.64,"Zhang et al., 2018",mixed,EI,178
Dallanave2018_1,Rehbrein Creek,shales and quart-rich turbidites,0.47,0.37,0.61,"Dallanave et al., 2018",magnetite,EI,133
Dallanave2018_2,Lainbach Valley,claystone and calcarenites,0.77,0.59,0.98,"Dallanave et al., 2018",magnetite,EI,87
Westerweel2019,Yaw,"mudstones, sandstones and siderite beds ",0.62,0.4,1.29,"Westerweel et al., 2019",magnetite,EI,168
Milanese2019,NW James Ross Island,sandstones and mudstones,0.54,,,"Milanese et al., 2019",magnetite,EI,119
Vaes2021_1,Gonjo 1,red beds,0.46,0.32,0.68,"Vaes et al., 2021",hematite,EI,128
Vaes2021_2,Gonjo 2,red beds,0.56,0.43,0.8,"Vaes et al., 2021",hematite,EI,145
Vaes2021_3,Gonjo 3,red beds,0.64,0.48,0.84,"Vaes et al., 2021",hematite,EI,129
Vaes2021_4,Gonjo 4,red beds,0.47,0.35,0.64,"Vaes et al., 2021",hematite,EI,137
Vaes2021_5,Gonjo 5,red beds,0.48,0.33,0.69,"Vaes et al., 2021",hematite,EI,156
Vaes2021_6,Gonjo 6,red beds,0.44,0.31,0.62,"Vaes et al., 2021",hematite,EI,133
Vaes2021_7,Gonjo 7,red beds,0.52,0.41,0.7,"Vaes et al., 2021",hematite,EI,113
Vaes2021_8,Gonjo 8,red beds,0.65,0.51,0.84,"Vaes et al., 2021",hematite,EI,167
Li2022,Qubeiya and Jialazi Fms,"sandstone, siltstone, wackestone",0.81,0.62,0.99,"Li et al., 2022",magnetite,EI,87
Pierce2022,Cut Face,red beds,0.64,0.5,0.86,"Pierce et al., 2022",hematite,EI,157
Kodama1995,Pigeon Point,mud- silt- and sandstone,0.71,,,"Kodama and Davi, 1995",magnetite,anisotropy,
Kodama1997,Nacimiento,claystones and shaless and siltstones and sandstones,0.79,,,"Kodama, 1997",magnetite,anisotropy,
Tan1998_1,Ladd,claystones and shaless and siltstones and sandstones,0.65,,,"Tan and Kodama, 1998",magnetite,anisotropy,
Tan1998_2,Point Loma,claystones and shaless and siltstones and sandstones,0.56,,,"Tan and Kodama, 1998",magnetite,anisotropy,
Li2001,Valle,sandstone,0.69,,,"Li et al., 2001",magnetite,anisotropy,
Tan2003,Kapusaliang,red beds,0.43,,,"Tan et al., 2003",hematite,anisotropy,
Kim2004,Nanaimo,marine mud- and sandstones,0.7,,,"Kim and Kodama, 2004",magnetite,anisotropy,
Vaughn2005,Perforada,interbedded mudstone and sandstone,0.67,,,"Vaughn et al., 2005",magnetite,anisotropy,
Kodama2009,Glenshaw,limestone and siltstone,0.65,,,"Kodama, 2009",magnetite,anisotropy,
Bilardello2010a,Mauch Chunk,calcareous mudstone and sandstone,0.49,,,Bilardello and Kodama 2010a,hematite,anisotropy,
Bilardello2010b,Deer Lake,red beds,0.54,,,Bilardello and Kodama 2010b,hematite,anisotropy,
Bilardello2010c_1,Shepody,red beds,0.64,,,"Bilardello and Kodama, 2010c",hematite,anisotropy,
Bilardello2010c_2,Maringouin,red beds,0.83,,,"Bilardello and Kodama, 2010c",hematite,anisotropy,
Bilardello2018,Itarare,marine rhythmites and diamictites and shale and sandstones,0.68,,,Bilardello et al. 2018,mixed,anisotropy,
